,Caller,Assignment group,New Description,Clean_Description,language
469,cjnlsbkq ocxnrewb,GRP_31,"ie浏览器打开crm系统后提示用户已被注销,无法登录crm系统。 ie浏览器打开crm系统后提示用户已被注销,无法登录crm系统。","ie浏览器打开crm系统后提示用户已被注销,无法登录crm系统。 ie浏览器打开crm系统后提示用户已被注销,无法登录crm系统。",zh-cn
1081,bwstnmjh yqumwrsk,GRP_48,"打开已关闭的销售订单时,显示""不能在手动或分布事物方式下创建新的链接"" 用友软件问题","打开已关闭的销售订单时,显示""不能在手动或分布事物方式下创建新的链接"" 用友软件问题",zh-cn
1178,cyjlqdwm kywiuosn,GRP_30,电话机没有声音 电话机没有声音,电话机没有声音 电话机没有声音,zh-cn
1452,spgdcvhb ocagnpmj,GRP_30,考勤系统进不去请处理谢谢! 考勤系统进不去请处理谢谢!,考勤系统进不去请处理谢谢! 考勤系统进不去请处理谢谢!,zh-cn
1700,neovalui kabpfvic,GRP_48,"用户忘记密码,导致账户锁定 账户被锁定","用户忘记密码,导致账户锁定 账户被锁定",zh-cn
1704,yvscpgax wdfxytzu,GRP_48,"用户账户锁定,请求解锁 账户被锁定","用户账户锁定,请求解锁 账户被锁定",zh-cn
1710,tvykmlex hcawjigf,GRP_48,产品所在仓库出错。 st6p  -100/+325   批号16-9-16 产品与仓库对不上,产品所在仓库出错。 -/+ 批号-- 产品与仓库对不上,zh-cn
1711,ofiglcaq hvcqtzel,GRP_48,"电脑启动后黑屏,主机无报警 开机黑屏","电脑启动后黑屏,主机无报警 开机黑屏",zh-cn
2004,weqocbnu eoixcpvy,GRP_31,"电脑登录密码忘记,重置密码。 电脑登录密码忘记,重置密码。","电脑登录密码忘记,重置密码。 电脑登录密码忘记,重置密码。",zh-cn
2980,basqoyjx frvwhbse,GRP_30,"hp2热压炉数据传输卡,数据更新不出来,请帮我转给小贺 hp2热压炉数据传输卡,数据更新不出来,请帮我转给小贺","hp热压炉数据传输卡,数据更新不出来,请帮我转给小贺 hp热压炉数据传输卡,数据更新不出来,请帮我转给小贺",zh-cn
3120,ruhbyzpv vlksnjti,GRP_30,"电脑硬盘故障,请求维修。 电脑硬盘故障,请求维修。","电脑硬盘故障,请求维修。 电脑硬盘故障,请求维修。",zh-cn
3137,bzypjigs qokwvgyn,GRP_30,"邮箱无法启动,提示无法创新新的堆栈防护页面。 邮箱无法启动","邮箱无法启动,提示无法创新新的堆栈防护页面。 邮箱无法启动",zh-cn
3307,lszhkxoy blemoyjd,GRP_30,"erp系统登录后,采购页面无法显示""后续凭证"",请处理 erp系统登录后,采购页面无法显示""后续凭证"",请处理","erp系统登录后,采购页面无法显示""后续凭证"",请处理 erp系统登录后,采购页面无法显示""后续凭证"",请处理",zh-cn
3315,hdungfsc znuhyjkx,GRP_31,电脑系统启动蓝屏。水不小心洒到电脑里面。 电脑系统启动蓝屏。,电脑系统启动蓝屏。水不小心洒到电脑里面。 电脑系统启动蓝屏。,zh-cn
3738,sbkhjigv pbvlfcse,GRP_48,"铸棒车间电话故障,39523850 电话故障","铸棒车间电话故障, 电话故障",zh-cn
3740,agyvbnwz mxsonkdc,GRP_48,"制粉车间3楼psf交换机处ups故障,设备无任何反应。 ups故障","制粉车间楼psf交换机处ups故障,设备无任何反应。 ups故障",zh-cn
3903,basqoyjx frvwhbse,GRP_30,"电脑无法连接公共盘,请帮我转给小贺 电脑无法连接公共盘,请帮我转给小贺","电脑无法连接公共盘,请帮我转给小贺 电脑无法连接公共盘,请帮我转给小贺",zh-cn
4028,xqyjztnm onfusvlz,GRP_30,"to 小贺:传真机传真出来有很粗的黑色墨迹,请帮忙查看一下,谢谢 传真机不清楚","to 小贺:传真机传真出来有很粗的黑色墨迹,请帮忙查看一下,谢谢 传真机不清楚",zh-cn
4054,napijrez xhpqkojc,GRP_31,"ie 浏览器问题,搜索网页后不能打开。 ie 浏览器问题,搜索网页后不能打开。","ie 浏览器问题,搜索网页后不能打开。 ie 浏览器问题,搜索网页后不能打开。",zh-cn
4090,pwfirvgu ydwlhuzi,GRP_30,"今年发生了5次网络地址丢失,需要重启设备后,才能重新恢复,在其他设备上无此故障。是否绑定ip地址? 热压炉4号plc控制器通讯模块网络地址丢失","今年发生了次网络地址丢失,需要重启设备后,才能重新恢复,在其他设备上无此故障。是否绑定ip地址? 热压炉号plc控制器通讯模块网络地址丢失",zh-cn
